,algorithm,instance,path_weight,time
0,sa,kroD100.tsp,32833,0.1431836206499611
1,sa,lin105.tsp,21810,0.14778999999998632
2,sa,att48.tsp,12039,0.06641938540005868
3,sa,kroB150.tsp,49031,0.2406718416003059
4,sa,berlin52.tsp,8834,0.07223679484977766
5,sa,kroA200.tsp,60527,0.30124215019959594
6,sa,rat195.tsp,4271,0.2848051916999793
7,sa,pr152.tsp,152969,0.23286059085021407
8,sa,st70.tsp,885,0.10436626829996384
9,sa,pr144.tsp,110805,0.23143434395005896
10,sa,pr124.tsp,110184,0.1897837758498099
11,sa,pr136.tsp,173768,0.21169420730002458
12,sa,kroB200.tsp,59218,0.2923275289002959
13,sa,kroB100.tsp,34049,0.13742930819998947
14,sa,kroA150.tsp,46881,0.21353792429963506
15,sa,kroA100.tsp,35897,0.13762148110008637
16,sa,pr107.tsp,75999,0.14706295709975165
17,sa,kroE100.tsp,32704,0.13770608695012926
18,sa,rat99.tsp,1757,0.13521865465008887
19,sa,kroC100.tsp,30510,0.137880504199984
20,sa,pr76.tsp,134854,0.10528279394984566
